Feature_Name	Score
UPSIT	0.10587110978182958
FAMILY_HISTORY	0.011942583952030779
snp255	0.008961115969660791
snp44	0.008073899440839038
snp348	0.007947214376382825
snp3	0.007678874661848274
snp48	0.00755894718038961
snp340	0.0073673055735182565
snp242	0.007169326787381885
snp490	0.007145299685739749
snp67	0.006941751185125572
snp343	0.00690834019091324
snp42	0.006840972472091044
snp312	0.006807183565704574
snp389	0.006736905424552848
snp30	0.006699948196881331
snp7	0.006397289871923829
snp463	0.006384163601177678
snp278	0.006333372209165083
snp106	0.006240844253396948
snp103	0.00613680383434503
snp428	0.006091611954627002
snp53	0.006063367987805341
snp6	0.0058696462372798755
snp220	0.005779716215295445
snp2	0.005694624512748953
snp372	0.005660074643577588
snp300	0.005566827885116477
snp426	0.005556610230340057
snp272	0.005534153306814872
snp244	0.0055260593933254805
snp339	0.005495720367262432
snp5	0.0054761872361609575
snp52	0.005453754971302029
snp329	0.0054148996577687925
snp232	0.005407380329175128
snp346	0.005382280782719604
snp286	0.005378771041316111
AGE	0.005364691214397073
snp464	0.005362088042686429
snp166	0.00534276695646426
snp336	0.005333032792926911
snp454	0.005312087045412208
snp431	0.005296987370127792
snp14	0.005266192338576942
snp105	0.005251186448240598
snp64	0.005234162320027688
snp350	0.005203411618702902
snp125	0.005151865642336226
snp154	0.005149809006949937
snp474	0.005129568173070712
snp4	0.0051033467908960005
snp34	0.005102639300629455
snp461	0.005071262596471766
snp209	0.005064839836411876
snp330	0.005049394983270088
snp472	0.0050353550842169225
snp301	0.00500651314960886
snp441	0.005004936019398855
snp144	0.004999434294217963
snp132	0.0049925645683956505
snp289	0.004964901416128256
snp139	0.004959251912218111
snp107	0.004903533928297071
snp324	0.0048798142015191006
snp303	0.004842676104802451
snp381	0.004841001501903404
snp251	0.004837152896723511
snp31	0.0048238348194387685
snp134	0.004819767160236978
snp23	0.004779489223254523
snp370	0.004769584240154158
snp440	0.004754945739152526
snp63	0.004732923102722713
snp314	0.0047031203324035065
snp32	0.004677000282434688
snp87	0.004675975301688144
snp492	0.004672628738027502
snp203	0.004648382684632057
snp211	0.004643016096030421
snp352	0.004611051810854938
snp347	0.00457904141314717
snp1	0.00457634106774252
snp108	0.004573157198583273
snp240	0.004529580231030665
snp315	0.004517158594389623
snp256	0.0045128047891019735
snp469	0.004489203548710926
snp237	0.004454564466685657
snp284	0.004452947115719543
snp172	0.0044191700631523705
snp398	0.004417980564973169
snp59	0.0043775005449980765
snp82	0.00433711201901696
snp111	0.004325766820948495
snp466	0.004315605334531683
snp49	0.004250479537962154
snp58	0.0042409990210578626
snp246	0.004237838821952292
snp92	0.004196755254558469
snp456	0.004167984982612804
snp16	0.004118357576839943
snp17	0.004117615528565484
snp225	0.003992265862687953
snp419	0.0039845365544807455
snp248	0.0039629701584444855
snp236	0.003955290627196363
SEX_COV	0.00394340933482593
snp37	0.00394202689267588
snp308	0.0039309887259076975
snp196	0.003926749889887274
snp29	0.003925795187480532
snp60	0.0039050388939684054
snp38	0.003895430210541223
snp233	0.0038953628176314177
snp65	0.0038879811099795237
snp192	0.0038569247957521875
snp56	0.0038235875261398975
snp199	0.0038225742329473845
snp493	0.0037990876601064504
snp176	0.003792690965290278
snp155	0.0037890813317239852
snp335	0.003787334626894407
snp332	0.003775100064137904
snp401	0.0037717873816165825
snp449	0.0037540293762213517
snp68	0.003736725061298342
snp43	0.0037249804069437796
snp69	0.0037212730563133023
snp8	0.003682501268503859
snp366	0.003638191049982347
snp45	0.003604977561087886
snp18	0.0035954046255729662
snp432	0.0035795336692756186
snp21	0.003559742955508865
snp152	0.003552444386841009
snp25	0.00354922706759879
snp145	0.0035245460148324668
snp61	0.003447219159862692
snp447	0.0034415133087738335
snp305	0.003439979281376685
snp24	0.0034312109899608013
snp131	0.003426200319108162
snp334	0.003408276973699706
snp55	0.0033975013354660883
snp317	0.0033934722911537385
snp148	0.0033818771194362267
snp384	0.0033774946078778414
snp19	0.003372793968564793
snp429	0.0033615720748904625
snp265	0.003354359582396846
snp446	0.003328351417956218
snp341	0.003302385174763233
snp22	0.0032982854782306562
snp62	0.0032705080102163452
snp376	0.003256740764283854
snp351	0.003217552342479164
snp307	0.003201004631369976
snp28	0.003187107335707595
snp379	0.0031863694814832848
snp50	0.003172509709554586
snp13	0.003165790409967027
snp15	0.0031518158944106745
snp404	0.0031027871681877377
snp393	0.0030722100975165965
snp180	0.003043636339417682
snp406	0.0030370146875351623
snp228	0.003031305825635138
snp117	0.0030182745986606203
snp400	0.0030072639069001644
snp481	0.0030044325643617726
snp448	0.002999042116410716
snp57	0.002968163104328364
snp288	0.002908856309474685
snp168	0.0028821290052169902
snp399	0.0028243725597352385
snp214	0.0028105717014091825
snp89	0.002796617040453983
snp94	0.0027932422375462496
snp206	0.002780805721626994
snp254	0.0027807776531986756
snp126	0.0027494527979488414
snp252	0.0027305828712066243
snp86	0.002605750167062422
snp484	0.0025994363614063555
snp302	0.0025820839496609902
snp36	0.002578161203589841
snp243	0.00257024857199226
snp313	0.0025474927576268603
snp173	0.0025270253204708964
snp409	0.0021866801305065113
snp51	0.0021656642690593654
snp27	0.0021474823690995006
snp72	0.002025912609307894
snp35	0.0019977016810464247
snp386	0.001941614600939911
snp266	0.0019352704287770041
snp47	0.0019218036341695488
snp11	0.0019070200773202745
snp70	0.0018981393446550112
snp88	0.0017920998665919973
snp66	0.001719362023280038
snp178	0.0017114065302683836
snp26	0.0016198052813896746
snp46	0.0016010692466661204
snp140	0.0016008298766195664
snp20	0.0015649602941372335
snp287	0.001561120028445064
snp171	0.0015388306521724577
snp10	0.0013698452433512363
snp109	0.0013663730408892394
snp380	0.001327106275923811
snp345	0.0013043787985014903
snp160	0.0009472182456747748
snp262	0.0009332138020594522
snp457	0.0009303898531732149
snp373	0.0009169823239802924
snp121	0.0008271969950985802
snp33	0.0008103682710189423
snp269	0.0007579896936066899
snp459	0.0007425099612678548
snp9	0.0007137777701477664
snp41	0.0006407780643506733
snp159	0.0006021084425237107
snp478	0.0004337087934118911
snp216	0.00023006556509777478
snp12	0.0001949811256537172
snp283	0.00012992458807313867
snp452	0.0
